,zip,bar_score,bar_revcount,rest_score,rest_revcount,num_complaints,num_food_est,num_food_poi,num_smoking,num_restaurants,num_violations,num_Cviolations,num_amer,num_chi,num_jap,num_cafe,num_ita,num_latin,num_mex,num_pizza,num_span,avg_score
50,10106,3.625,138.45,4.075,368.55,0.0,0.0,0.0,0.0,2.0,19.0,7.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.44444444444
51,10107,3.775,135.55,4.05,313.55,0.0,0.0,0.0,0.0,1.0,7.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.33333333333
52,10110,3.5,183.55,3.95,263.65,0.0,0.0,0.0,0.0,1.0,9.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
53,10111,3.75,206.9,3.925,288.45,3.0,0.0,3.0,0.0,5.0,87.0,50.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.9666666667
54,10112,3.675,265.75,4.0,343.4,14.0,9.0,5.0,0.0,18.0,183.0,95.0,7.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,9.98850574713
55,10118,3.85,213.65,4.075,372.45,0.0,0.0,0.0,0.0,7.0,63.0,32.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,11.4074074074
56,10119,3.975,128.05,4.175,278.45,5.0,4.0,0.0,1.0,21.0,251.0,130.0,5.0,0.0,1.0,3.0,2.0,0.0,0.0,2.0,0.0,13.6344086022
57,10121,3.7,168.05,3.95,169.55,0.0,0.0,0.0,0.0,24.0,134.0,75.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.78082191781
58,10122,3.55,157.15,3.925,171.0,0.0,0.0,0.0,0.0,1.0,22.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.5714285714
59,10123,3.575,177.0,3.975,215.35,1.0,1.0,0.0,0.0,2.0,27.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.4285714286
60,10128,4.15,184.3,4.275,371.85,368.0,280.0,70.0,11.0,162.0,3105.0,1728.0,38.0,11.0,7.0,9.0,15.0,0.0,5.0,13.0,1.0,15.5872033024
61,10153,3.8,184.7,4.05,423.7,0.0,0.0,0.0,0.0,4.0,23.0,13.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,10.4285714286
62,10154,3.625,197.05,4.075,344.25,0.0,0.0,0.0,0.0,1.0,11.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
63,10155,3.75,278.7,4.05,319.4,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0
64,10165,3.6,135.45,3.925,282.7,0.0,0.0,0.0,0.0,1.0,9.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.3333333333
65,10166,3.4,159.55,3.95,191.25,0.0,0.0,0.0,0.0,1.0,11.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.5
66,10167,3.475,153.7,3.975,230.1,0.0,0.0,0.0,0.0,3.0,16.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.875
67,10168,3.65,171.25,3.95,210.25,0.0,0.0,0.0,0.0,4.0,30.0,13.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.4285714286
68,10169,3.425,174.6,3.9,224.25,0.0,0.0,0.0,0.0,21.0,35.0,14.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,6.0
69,10170,3.6,162.25,4.125,321.45,0.0,0.0,0.0,0.0,2.0,28.0,12.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.5
70,10171,3.625,103.25,3.875,240.55,0.0,0.0,0.0,0.0,2.0,10.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2
71,10172,3.375,133.2,3.9,228.5,0.0,0.0,0.0,0.0,1.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5
72,10173,3.55,181.15,3.95,265.15,0.0,0.0,0.0,0.0,1.0,7.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.25
