,P1,P2,P3,P4,P5,P6,P7,P8,zip,Y,Predicts,Dev_SqDist
181,0.908773750602,0.070165142452,0.111300275217,1.1374634919,-0.122361798671,0.451280742306,0.101417041675,0.00502564888791,11694,15.1920289855,16.2468633574,1.11267555222
53,0.974568347971,0.114711302476,0.115916838593,-1.47953263274,1.36799191663,2.01385751233,-1.35307373987,2.14315864404,10307,13.9645390071,13.9023268912,0.0038703473611
28,0.0333144623665,0.471215519633,0.210904144815,0.437085740504,0.833086999362,0.0681647230496,0.579908893196,1.19906352155,10031,15.5383386581,15.4023565519,0.018491133208
67,0.797833464611,-0.241530371015,0.0527774674556,0.446392925283,0.346952595491,0.220890258641,-0.260542910198,0.874190066145,10459,14.3861788618,15.6742116749,1.65902852767
3,-0.303156487491,0.41264884055,-1.63398879003,-0.299497738984,-0.9438749402,0.409477347052,-0.457968363017,0.494635002222,10004,14.0225281602,14.0975288242,0.00562509959468
6,-1.17548713412,1.72771510814,-1.72055238031,0.245175811637,0.084399000457,-0.160162157622,0.107196959474,-0.99127871,10007,14.6839378238,14.0903531128,0.352342809092
35,-0.965362692644,0.776052787278,-0.97934679409,0.21619701904,0.422220051113,0.974674887062,0.600660442055,1.14007609748,10038,15.4521575985,14.8817396263,0.325376662959
41,-0.0281683967853,1.67961676749,-0.179005280243,-1.77248839986,-1.9330352414,-0.794571649524,0.731043130205,0.35232467459,10119,13.6344086022,11.8915766003,3.03746338701
9,-2.39405224154,-1.08588172283,-1.04855663803,-0.0637501890998,0.414006867243,0.410495934133,-1.10552203615,-0.583068877726,10011,14.8799164636,15.3526643193,0.223490535099
80,0.71539916018,-0.565378653286,0.365067166383,-0.359134783211,-0.62835121235,-0.000645832411363,-0.781013289381,0.101965947886,10472,14.3492063492,14.8619533146,0.262909450495
142,0.328766192513,0.653162720373,-1.1017988133,0.541990933525,0.660877274623,0.757667264112,-0.671563139235,-0.355279651168,11367,14.9005847953,15.259275511,0.128659029513
