,num_restaurants,num_violations,num_Cviolations,num_amer,num_chi,num_jap,num_cafe,num_ita,num_latin,num_mex,num_pizza,num_span,avg_score
10036,611,11003,6174,263,11,17,38,36,7,15,18,5,15.19068736141907
10037,33,675,366,8,6,0,1,0,0,0,1,2,16.6
10038,182,3234,1861,53,11,6,15,8,1,5,6,2,15.452157598499062
10039,33,541,306,4,4,0,1,0,0,0,5,0,15.283333333333333
10040,77,1323,740,9,5,0,1,2,15,3,6,10,15.476744186046512
10041,1,2,1,1,0,0,0,0,0,0,0,0,11.0
10044,8,85,44,1,1,1,1,0,0,0,1,0,11.8
10048,1,3,1,1,0,0,0,0,0,0,0,0,5.5
10055,1,2,2,1,0,0,0,0,0,0,0,0,3.25
10057,1,20,14,1,0,0,0,0,0,0,0,0,17.0
10065,179,3527,1958,52,2,11,12,16,3,1,10,0,15.222811671087532
10069,5,93,58,3,0,1,0,0,0,0,0,0,16.310344827586206
10075,99,2044,1191,19,4,8,5,16,0,2,6,1,15.57427258805513
10103,2,13,5,0,0,0,1,0,0,0,0,0,7.333333333333333
10104,5,55,35,2,0,0,1,1,0,0,0,0,16.333333333333332
10105,2,29,18,1,0,0,1,0,0,0,0,0,10.928571428571429
10106,2,19,7,1,0,0,0,1,0,0,0,0,8.444444444444445
10107,1,7,2,0,0,0,1,0,0,0,0,0,8.333333333333334
10110,1,9,3,0,0,0,0,0,0,0,0,0,8.0
10111,5,87,50,3,0,0,0,0,0,0,0,0,17.966666666666665
10112,18,183,95,7,0,0,1,1,0,0,0,0,9.988505747126437
10118,7,63,32,1,0,0,1,0,0,1,0,0,11.407407407407407
10119,21,251,130,5,0,1,3,2,0,0,2,0,13.634408602150538
10121,24,134,75,10,0,0,0,0,0,0,1,0,8.780821917808218
10122,1,22,14,1,0,0,0,0,0,0,0,0,15.571428571428571
10123,2,27,11,0,0,0,0,0,0,0,0,0,16.428571428571427
10128,162,3105,1728,38,11,7,9,15,0,5,13,1,15.587203302373581
10153,4,23,13,1,0,0,2,0,0,0,0,0,10.428571428571429
10154,1,11,5,0,0,0,0,0,0,0,0,0,10.0
10155,1,2,1,0,0,0,1,0,0,0,0,0,8.0
10165,1,9,6,1,0,0,0,0,0,0,0,0,14.333333333333334
10166,1,11,8,0,0,0,0,0,0,0,0,1,11.5
10167,3,16,7,3,0,0,0,0,0,0,0,0,8.875
10168,4,30,13,1,0,0,1,0,0,0,0,0,10.428571428571429
10169,21,35,14,2,1,0,1,0,0,1,1,0,6.0
10170,2,28,12,0,0,0,1,0,0,0,0,0,12.5
10171,2,10,2,2,0,0,0,0,0,0,0,0,6.2
10172,1,4,2,0,0,0,0,0,0,0,0,0,8.5
10173,1,7,1,0,0,0,1,0,0,0,0,0,5.25
10174,3,18,6,1,0,0,0,0,0,0,0,0,7.777777777777778
10175,2,27,17,0,0,0,0,0,0,0,1,0,14.0
10176,2,42,21,1,0,0,0,0,0,0,0,0,14.785714285714286
10179,1,5,1,1,0,0,0,0,0,0,0,0,6.0
10199,1,33,19,1,0,0,0,0,0,0,0,0,15.3
10279,1,1,0,0,0,0,0,0,0,0,0,0,2.0
10280,9,151,89,2,0,0,0,0,0,2,1,0,14.0
10281,27,193,115,10,1,1,2,1,0,1,1,0,11.32183908045977
10282,17,183,90,11,0,0,0,1,0,1,0,0,11.39240506329114
10285,2,45,26,2,0,0,0,0,0,0,0,0,18.846153846153847
10301,97,1529,850,29,7,1,3,5,5,7,9,4,14.684615384615384
10302,67,1165,663,13,12,1,0,0,3,9,8,2,16.44959128065395
10303,37,708,392,7,4,1,2,2,3,0,1,4,16.413953488372094
10304,54,972,539,14,7,0,0,1,2,5,8,3,17.46315789473684
10305,94,1583,852,17,8,2,1,15,0,3,12,0,14.961389961389962
10306,112,1735,962,24,12,6,1,8,1,2,15,2,14.157190635451505
10307,30,401,232,6,2,1,1,5,0,1,4,1,13.964539007092199
10308,57,1016,545,14,6,4,0,9,0,0,6,2,15.027190332326285
10309,78,1235,723,20,4,4,3,7,0,1,11,0,15.033492822966506
10310,53,954,531,14,4,1,1,3,1,5,6,0,16.894545454545455
10311,1,19,11,1,0,0,0,0,0,0,0,0,17.6
10312,76,1246,738,19,6,7,0,8,0,0,11,0,15.689320388349515
10314,179,3097,1795,48,14,8,8,8,1,2,20,1,15.833333333333334
10317,1,17,5,0,0,0,0,0,0,0,0,0,14.75
10451,162,2423,1299,68,13,0,2,1,4,6,16,5,13.730504587155963
10452,103,1902,1056,8,15,0,0,0,22,2,8,12,15.213036565977742
10453,92,1850,1021,6,18,0,0,0,14,5,9,8,15.159802306425041
10454,70,1501,854,11,13,1,0,0,7,7,6,8,14.839679358717435
10455,101,1972,1073,10,9,0,0,2,10,15,10,9,15.23394495412844
10456,93,1753,968,8,21,0,1,0,10,0,8,5,14.348484848484848
10457,88,1556,794,11,15,0,1,0,11,3,6,15,14.693359375
10458,189,3430,1880,32,23,2,7,18,17,10,23,8,15.164579606440071
10459,74,1433,800,7,12,0,0,0,11,2,10,5,14.386178861788618
10460,68,1001,502,14,13,0,1,0,8,1,8,2,12.876675603217159
10461,157,2555,1403,28,17,4,7,11,6,3,16,5,14.133333333333333
10462,151,2645,1436,29,19,0,4,3,9,6,18,2,14.38907469342252
10463,131,2150,1179,32,15,3,5,2,9,5,12,3,14.244979919678714
10464,37,793,422,14,1,1,0,3,1,0,1,1,16.71875
10465,79,1396,736,28,9,3,5,3,3,4,10,1,14.61437908496732
10466,93,1738,960,10,15,0,0,0,2,0,7,1,14.970537261698441
10467,163,2758,1501,13,29,0,3,0,9,8,24,10,14.61480686695279
10468,105,2041,1101,10,13,0,3,0,10,9,13,7,15.368107302533533
10469,90,1829,1016,10,13,0,2,2,4,0,14,0,15.597972972972974
10470,46,820,447,10,3,0,0,2,0,0,5,0,14.815602836879433
10471,49,800,443,19,4,2,0,2,1,1,6,0,13.843065693430656
10472,107,1881,1034,7,15,0,0,0,17,10,11,10,14.34920634920635
10473,29,485,276,3,9,0,0,0,1,0,3,5,14.813253012048193
10474,38,686,377,10,4,0,2,0,6,1,4,5,13.875536480686696
10475,59,841,473,14,7,1,2,1,0,0,4,0,14.409395973154362
10528,1,2,1,1,0,0,0,0,0,0,0,0,10.0
10605,1,17,13,0,0,0,0,0,0,0,0,0,14.833333333333334
11001,2,40,20,1,0,0,0,0,0,0,1,0,16.916666666666668
11004,30,607,336,1,2,0,0,0,0,0,2,0,15.875647668393782
11005,2,40,28,1,0,0,0,0,0,0,0,0,21.5
11040,18,375,210,7,3,0,0,2,0,0,1,1,16.051724137931036
11101,260,4861,2713,96,8,8,16,10,8,5,11,8,14.946270543615677
11102,86,1443,806,19,7,0,6,2,1,4,11,2,14.313131313131313
11103,213,4080,2214,41,9,6,14,4,8,8,14,5,14.459016393442623
11104,112,2137,1176,21,9,4,4,6,7,3,8,3,15.655834564254063
11105,134,2504,1404,28,6,7,9,7,0,3,8,2,14.52962085308057
11106,163,3370,1895,28,14,6,6,7,7,8,13,5,15.280330882352942
11109,7,117,60,2,1,0,1,1,2,0,0,0,14.405405405405405
11201,347,6192,3440,107,14,14,28,17,4,11,20,7,14.447318007662835
11203,143,2821,1569,16,16,0,2,0,0,0,5,0,15.685267857142858
11204,125,2645,1507,5,29,6,7,6,1,3,10,0,16.35891089108911
11205,140,2802,1554,40,9,5,10,3,7,6,7,3,14.880043620501636
11206,151,2692,1503,33,13,2,11,1,8,10,13,10,15.235560588901473
11207,141,2712,1511,19,29,1,2,1,10,0,13,17,15.101336302895323
11208,112,2423,1392,6,22,0,1,0,12,5,11,13,16.26397919375813
11209,264,4556,2447,65,23,10,10,16,1,8,23,2,14.469656992084433
11210,86,1519,828,11,15,1,2,0,0,0,4,1,15.049115913555992
11211,378,7170,3896,128,15,8,28,14,19,16,21,5,14.734605377276669
11212,111,2086,1141,10,25,0,2,0,2,0,10,4,15.520833333333334
11213,89,1832,1031,11,18,0,1,0,1,0,2,2,16.496478873239436
11214,182,3552,2008,21,48,10,7,5,3,6,20,2,16.17921146953405
11215,353,6604,3703,102,17,11,28,22,8,19,23,4,15.084190832553789
11216,163,2920,1605,23,17,4,12,1,3,6,10,4,15.595137420718816
11217,259,4378,2384,70,11,10,15,11,6,7,14,4,13.670565302144249
11218,138,2919,1649,18,14,1,4,3,2,10,13,4,16.180089485458613
11219,108,2150,1188,6,26,3,0,6,3,7,6,4,15.65542521994135
11220,317,6701,3983,18,119,5,15,2,20,18,14,3,17.45762711864407
11221,112,1804,973,14,24,0,9,2,8,2,12,11,15.612389380530974
11222,200,3524,1948,60,8,4,21,7,1,6,11,1,15.19227392449517
11223,186,3231,1738,23,21,3,10,9,1,10,14,3,15.120722433460076
11224,77,1159,599,28,8,1,1,1,1,2,8,2,13.65989847715736
11225,116,1845,1030,13,14,1,7,0,1,2,9,1,14.790322580645162
11226,194,3922,2167,18,29,1,4,0,2,4,14,4,15.754792332268371
11228,57,1025,571,13,9,1,1,6,0,4,9,0,14.382183908045977
11229,135,2678,1512,17,25,11,5,2,0,3,19,0,16.251482799525505
11230,105,2262,1274,11,5,1,4,2,1,2,11,2,16.251057827926658
11231,161,2800,1541,61,6,5,13,8,3,5,13,0,14.209694415173868
11232,110,2124,1227,18,17,0,3,1,10,10,6,8,16.639097744360903
11233,73,1067,595,10,17,0,2,1,1,0,3,0,15.540462427745664
11234,143,2454,1303,30,23,3,2,8,0,1,13,0,13.97198538367844
11235,174,3217,1772,28,11,14,7,5,0,2,10,0,15.042430086788814
11236,113,2092,1135,12,28,0,2,1,1,0,9,0,15.22172619047619
11237,199,3472,1947,40,15,5,13,3,13,23,11,18,15.590459045904591
11238,249,4171,2283,87,12,7,19,13,4,14,11,1,14.580715850986122
11239,16,112,70,5,1,0,1,1,0,0,2,0,12.533333333333333
11242,1,36,18,0,0,0,0,0,0,0,0,0,18.2
11249,163,2895,1568,65,3,6,22,11,1,7,2,1,15.12061403508772
11256,1,6,3,1,0,0,0,0,0,0,0,0,10.0
11352,1,23,17,0,1,0,0,0,0,0,0,0,25.166666666666668
11354,389,7815,4736,22,136,10,24,1,1,0,7,0,17.18032786885246
11355,203,4324,2605,12,92,1,5,0,5,0,8,1,17.22
11356,52,873,493,8,11,1,1,3,3,2,5,3,14.06
11357,65,1152,633,12,7,1,1,13,1,0,6,0,14.07928388746803
11358,143,2753,1547,13,9,7,6,3,3,1,9,2,15.376712328767123
11360,25,465,252,10,1,0,1,1,0,0,2,0,14.4640522875817
11361,116,2038,1095,25,10,4,6,5,2,1,9,1,14.221897810218978
11362,49,951,552,6,8,3,2,4,0,1,4,1,15.677740863787376
11363,13,236,134,5,2,0,0,2,0,0,1,0,15.08
11364,50,1045,598,6,7,4,0,3,0,0,5,0,15.164222873900293
11365,44,753,401,9,8,2,1,1,1,2,5,1,14.42023346303502
11366,62,1064,573,7,9,2,0,1,0,1,5,1,15.311046511627907
11367,55,1022,577,7,6,0,0,0,1,0,4,1,14.900584795321638
11368,299,5683,3181,72,21,0,4,2,58,33,12,33,15.615640599001663
11369,83,1529,826,28,5,1,2,1,8,1,3,4,13.87114337568058
11370,27,527,290,5,4,0,0,3,0,0,2,1,14.219101123595506
11371,35,348,181,15,0,0,1,1,0,0,2,0,12.0
11372,334,7435,4281,23,16,4,6,2,65,30,12,43,16.474353353792196
11373,223,4665,2676,26,31,4,12,3,15,10,8,12,16.168185003503854
11374,88,1569,926,14,9,5,2,1,3,0,6,1,15.111545988258317
11375,193,3643,2024,36,14,11,7,11,4,3,15,2,14.70655737704918
11377,213,4253,2335,29,20,2,8,2,29,12,10,12,15.724474474474475
11378,78,1573,888,19,12,2,0,1,2,1,14,1,14.992263056092844
11379,49,842,447,6,6,1,1,4,1,0,8,3,14.0
11385,265,5017,2771,51,27,5,26,6,20,8,31,8,14.965580823601721
11411,25,499,274,1,5,0,0,0,0,0,0,0,17.80952380952381
11412,44,773,426,4,8,0,0,0,0,0,8,0,14.05243445692884
11413,41,673,372,8,6,0,0,0,0,0,2,0,15.210526315789474
11414,49,977,556,7,5,4,1,5,0,0,5,1,14.782874617737003
11415,40,799,445,9,4,1,2,0,0,0,3,1,15.72983870967742
11416,42,934,512,9,7,0,0,0,2,1,6,2,16.45644599303136
11417,69,1332,730,18,13,0,0,2,1,2,6,2,16.05542168674699
11418,87,1590,881,14,9,1,1,1,4,6,8,8,15.575638506876228
11419,93,1926,1029,11,15,0,0,3,1,0,1,0,16.371134020618555
11420,89,1644,913,26,10,0,0,1,2,0,4,2,14.306049822064058
11421,79,1433,810,12,12,0,1,0,12,3,9,7,15.330526315789474
11422,41,805,424,7,5,0,2,0,0,0,4,1,15.354581673306773
11423,32,670,373,3,4,0,0,0,2,2,1,3,16.482926829268294
11426,32,613,341,5,4,1,1,2,0,0,3,0,14.052132701421801
11427,19,337,174,3,4,0,0,1,1,0,3,0,12.840336134453782
11428,36,922,522,2,7,0,1,0,4,0,2,2,17.600746268656717
11429,24,478,247,3,5,0,0,0,0,0,1,0,13.862275449101796
11430,152,2084,1177,70,1,3,10,4,0,2,6,0,13.22549019607843
11432,192,3616,2013,39,19,4,5,0,9,1,6,12,15.432088285229202
11433,29,547,298,3,3,0,1,0,1,0,5,1,13.658163265306122
11434,89,1285,691,17,17,0,1,0,0,0,6,1,14.356009070294785
11435,108,2232,1181,23,18,1,0,1,12,5,5,9,15.047752808988765
11436,25,466,251,6,5,0,0,0,0,0,3,0,16.185714285714287
11451,1,31,21,1,0,0,0,0,0,0,0,0,18.375
11691,50,1137,634,6,11,0,0,0,6,0,7,2,16.911042944785276
11692,11,188,109,1,3,0,0,0,0,0,1,0,14.323076923076924
11693,34,562,286,12,2,0,0,0,1,0,4,0,15.220338983050848
11694,40,843,475,8,5,1,0,1,1,2,4,0,15.192028985507246
11697,3,91,51,3,0,0,0,0,0,0,0,0,18.458333333333332
