,bar_rating,bar_rev_count,rest_rating,rest_rev_count,num_complaints,num_food_est,num_food_poi,num_smoking,num_restaurants,num_violations,num_Cviolations,num_amer,num_chi,num_jap,num_cafe,num_ita,num_latin,num_mex,num_pizza,num_span,avg_score
10153,0.0,0,0.0,0,153.0,121.0,29.0,1.0,4,23,13,1,0,0,2,0,0,0,0,0,10.4285714286
10154,0.0,0,4.5,270,469.0,317.0,130.0,14.0,1,11,5,0,0,0,0,0,0,0,0,0,10.0
10155,0.0,0,0.0,0,1.0,1.0,0.0,0.0,1,2,1,0,0,0,1,0,0,0,0,0,8.0
10165,0.0,0,4.0,18,307.0,215.0,87.0,3.0,1,9,6,1,0,0,0,0,0,0,0,0,14.3333333333
10166,3.0,72,3.5,247,244.0,171.0,69.0,2.0,1,11,8,0,0,0,0,0,0,0,0,1,11.5
10167,0.0,0,0.0,0,223.0,151.0,68.0,2.0,3,16,7,3,0,0,0,0,0,0,0,0,8.875
10168,0.0,0,0.0,0,139.0,99.0,40.0,0.0,4,30,13,1,0,0,1,0,0,0,0,0,10.4285714286
10169,3.5,97,4.0,138,233.0,173.0,58.0,0.0,21,35,14,2,1,0,1,0,0,1,1,0,6.0
10170,0.0,0,0.0,0,221.0,161.0,58.0,1.0,2,28,12,0,0,0,1,0,0,0,0,0,12.5
10171,0.0,0,0.0,0,187.0,134.0,52.0,1.0,2,10,2,2,0,0,0,0,0,0,0,0,6.2
10172,0.0,0,0.0,0,450.0,319.0,85.0,40.0,1,4,2,0,0,0,0,0,0,0,0,0,8.5
10173,0.0,0,0.0,0,203.0,156.0,46.0,0.0,1,7,1,0,0,0,1,0,0,0,0,0,5.25
10174,0.0,0,0.0,0,145.0,96.0,49.0,0.0,3,18,6,1,0,0,0,0,0,0,0,0,7.77777777778
10175,0.0,0,0.0,0,360.0,259.0,73.0,28.0,2,27,17,0,0,0,0,0,0,0,1,0,14.0
10176,4.0,326,4.0,327,503.0,377.0,110.0,13.0,2,42,21,1,0,0,0,0,0,0,0,0,14.7857142857
10179,0.0,0,0.0,0,329.0,217.0,99.0,8.0,1,5,1,1,0,0,0,0,0,0,0,0,6.0
10199,0.0,0,0.0,0,117.0,80.0,29.0,7.0,1,33,19,1,0,0,0,0,0,0,0,0,15.3
10279,0.0,0,0.0,0,134.0,84.0,37.0,12.0,1,1,0,0,0,0,0,0,0,0,0,0,2.0
10280,3.5,36,3.75,128,169.0,130.0,34.0,4.0,9,151,89,2,0,0,0,0,0,2,1,0,14.0
10281,3.35714285714,104,3.6875,123,461.0,289.0,144.0,26.0,27,193,115,10,1,1,2,1,0,1,1,0,11.3218390805
10282,3.5,261,4.16666666667,323,265.0,174.0,81.0,10.0,17,183,90,11,0,0,0,1,0,1,0,0,11.3924050633
